teamOneWon,teamTwoWon,map2Team1SideBothPlayer1PlusMinus,map2Team1SideBothPlayer1Rating,map2Team1SideBothPlayer2PlusMinus,map2Team1SideBothPlayer2Rating,map2Team1SideBothPlayer3PlusMinus,map2Team1SideBothPlayer3Rating,map2Team1SideBothPlayer4PlusMinus,map2Team1SideBothPlayer4Rating,map2Team1SideBothPlayer5PlusMinus,map2Team1SideBothPlayer5Rating,map2Team2SideBothPlayer1PlusMinus,map2Team2SideBothPlayer1Rating,map2Team2SideBothPlayer2PlusMinus,map2Team2SideBothPlayer2Rating,map2Team2SideBothPlayer3PlusMinus,map2Team2SideBothPlayer3Rating,map2Team2SideBothPlayer4PlusMinus,map2Team2SideBothPlayer4Rating,map2Team2SideBothPlayer5PlusMinus,map2Team2SideBothPlayer5Rating
False,True,-2,1.09,0,0.94,-4,0.84,-6,0.73,-6,0.62,9,1.57,3,1.51,3,1.19,-1,1.1,2,1.02
False,True,8,1.51,-6,1.29,5,1.23,-1,0.91,-5,0.73,5,1.34,2,1.29,-5,1.02,-1,1.02,-2,0.96
True,False,10,1.87,10,1.65,4,1.64,2,1.35,1,1.12,-2,0.98,-5,0.8,-3,0.7,-9,0.51,-8,0.49
True,False,7,1.64,11,1.58,4,1.4,7,1.38,3,1.28,3,1.33,-7,0.69,-8,0.62,-8,0.55,-12,0.38
True,False,5,1.52,9,1.39,7,1.36,3,1.15,-1,1.03,4,1.2,-3,1.17,-7,0.68,-6,0.58,-12,0.49
True,False,6,1.37,-1,1.28,2,1.28,6,1.27,-1,1.03,8,1.41,0,1.09,-2,1.04,-5,0.83,-13,0.44
True,False,5,1.39,5,1.31,3,1.19,3,1.03,-5,0.84,6,1.42,-4,0.89,-5,0.85,-1,0.81,-7,0.77
False,True,3,1.32,-1,0.97,-4,0.93,-3,0.92,-6,0.69,11,1.53,3,1.26,3,1.22,1,1.1,-8,0.66
True,False,9,1.71,6,1.35,4,1.24,0,1.17,4,1.04,-3,0.95,-1,0.85,-5,0.79,-8,0.7,-10,0.58
False,True,11,1.39,5,1.34,-2,1.03,-2,0.97,-13,0.47,5,1.34,1,1.09,-1,1.08,0,1.03,-5,0.82
True,False,8,1.47,-2,1.09,4,1.04,0,1.02,-5,0.82,4,1.27,3,1.24,0,1.19,-3,0.86,-9,0.78
False,True,2,1.21,-3,1.06,-6,0.83,-8,0.8,-3,0.79,8,1.61,9,1.51,2,1.37,1,1.07,-3,0.91
False,True,5,1.32,-4,0.93,-5,0.84,-4,0.79,-9,0.64,9,1.6,5,1.49,1,1.15,2,1.01,-1,0.97
False,True,-6,0.62,-7,0.59,-7,0.57,-8,0.51,-8,0.45,13,2.12,6,1.62,6,1.57,7,1.42,4,1.14
