eventId,teamOneName,teamTwoName,teamOneScore,teamTwoScore,teamOneWon,teamTwoWon,matchLink
7551,GamerLegion,Virtus.pro,2,1,True,False,/matches/2369476/gamerlegion-vs-virtuspro-iem-katowice-2024-play-in
7551,Spirit,TheMongolz,2,0,True,False,/matches/2369475/spirit-vs-themongolz-iem-katowice-2024-play-in
7551,HEROIC,BIG,2,1,True,False,/matches/2369474/heroic-vs-big-iem-katowice-2024-play-in
7551,Eternal Fire,Rebels,2,0,True,False,/matches/2369473/eternal-fire-vs-rebels-iem-katowice-2024-play-in
7551,Rooster,Virtus.pro,4,13,True,False,/matches/2369407/rooster-vs-virtuspro-iem-katowice-2024-play-in
7551,FURIA,TheMongolz,14,16,False,True,/matches/2369404/furia-vs-themongolz-iem-katowice-2024-play-in
7551,GamerLegion,M80,13,10,True,False,/matches/2369406/gamerlegion-vs-m80-iem-katowice-2024-play-in
7551,Spirit,Apeks,13,0,True,False,/matches/2369405/spirit-vs-apeks-iem-katowice-2024-play-in
7551,Cloud9,Rebels,10,13,False,True,/matches/2369400/cloud9-vs-rebels-iem-katowice-2024-play-in
7551,ENCE,BIG,9,13,True,False,/matches/2369403/ence-vs-big-iem-katowice-2024-play-in
7551,Eternal Fire,BetBoom,13,1,True,False,/matches/2369401/eternal-fire-vs-betboom-iem-katowice-2024-play-in
7551,HEROIC,Astralis,13,11,True,False,/matches/2369402/heroic-vs-astralis-iem-katowice-2024-play-in
7437,MOUZ,FaZe,0,2,False,True,/matches/2370931/mouz-vs-faze-iem-chengdu-2024
7437,Astralis,FaZe,1,2,False,True,/matches/2370930/astralis-vs-faze-iem-chengdu-2024
7437,MOUZ,G2,2,1,True,False,/matches/2370929/mouz-vs-g2-iem-chengdu-2024
7437,Liquid,FaZe,1,2,False,True,/matches/2370928/liquid-vs-faze-iem-chengdu-2024
7437,Virtus.pro,G2,0,2,False,True,/matches/2370927/virtuspro-vs-g2-iem-chengdu-2024
7437,G2,HEROIC,2,0,True,False,/matches/2370917/g2-vs-heroic-iem-chengdu-2024
7437,FaZe,FlyQuest,2,0,True,False,/matches/2370926/faze-vs-flyquest-iem-chengdu-2024
7437,Liquid,MOUZ,0,2,False,True,/matches/2370918/liquid-vs-mouz-iem-chengdu-2024
7437,Virtus.pro,Astralis,0,2,False,True,/matches/2370925/virtuspro-vs-astralis-iem-chengdu-2024
7437,FlyQuest,Nemiga,2,0,True,False,/matches/2370923/flyquest-vs-nemiga-iem-chengdu-2024
7437,Cloud9,FaZe,0,2,False,True,/matches/2370924/cloud9-vs-faze-iem-chengdu-2024
7437,HEROIC,FURIA,2,1,True,False,/matches/2370915/heroic-vs-furia-iem-chengdu-2024
7437,G2,Lynn Vision,2,0,True,False,/matches/2370916/g2-vs-lynn-vision-iem-chengdu-2024
7437,Astralis,FaZe,2,0,True,False,/matches/2370919/astralis-vs-faze-iem-chengdu-2024
7437,Steel Helmet,Nemiga,0,2,False,True,/matches/2370920/steel-helmet-vs-nemiga-iem-chengdu-2024
7437,FlyQuest,Virtus.pro,1,2,False,True,/matches/2370921/flyquest-vs-virtuspro-iem-chengdu-2024
7437,Cloud9,Wildcard,2,0,True,False,/matches/2370922/cloud9-vs-wildcard-iem-chengdu-2024
7437,FURIA,MOUZ,1,2,False,True,/matches/2370913/furia-vs-mouz-iem-chengdu-2024
