playerId,playerName
23636,Maxim 'takanashi' Menshikov
21346,Alexander 'tOPZ' Miklagard
17113,Hubert 'szejn' Światły
22048,Sindre 'Tapewaare' Ellefsen
23104,Jon 'BøghmagiC' Bøgh
16718,Frederik 'Fessor' Sørensen
22952,Magnus 'Hagmeister' Hagen
16927,Steffen 'SLY' Amundsen
24180,Alexander 'qzr' Aspholm
22658,Viktor 'Viktha' Harjo
24068,Thomas 'Wenba' Ulmark
22884,Gleb 'gr1ks' Gazin
22803,David 'bl1x1' Stepanyants
23193,Vitaly 'VILBy' Zakharyuta
23302,Lubsan 'bluewh1te' Mulonov
23359,Oleg 'sh1geo' Stasenko
20302,Rasmus 'Equip' Munch Christensen
22875,Christopher 'VireZ' Wegmann
22091,Christian 'Griller' Vejlgaard Skou Sørensen
22947,Rasmus 'Skejs' Gleerup
23338,Lukas 'Beccie' Bauder Balcells
20340,Callum 'Girafffe' Jones
23599,Mustafa 'forkyz' Maulenkul
23541,Alisher 'tasman' Marat
21691,Daulet 'BLVCKM4GIC' Ondassynov
22537,Sanzhar 'def1zer' Talgat
23292,Daniyar 'Pumpkin66' Buldybayev
22123,Michal 'T4gg3D' Vrzal
19812,Artem 'Chill' Mankevich
23753,Samuel 'MahaR' Horáček
23469,Ruslan 'woozzzi' Aliev
22880,Denis 'm1QUSE' Karpovich
24079,Aleksandr 'w1sely' Mudrakov
8726,Dmitriy 'facecrack' Alekseyev
20207,Konstantin 'Raijin' Trubarov
20883,Amir 'eightz999' Abdulmedzhidov
19232,Nikita 'JIaYm' Panyushkin
21773,Richart 'ANSG1' Saleela Nielsen
10938,Andreas 'kiR' Kirstein
8265,Alexander 'alexsomfan' Nielsen
24113,Simon 'sSen' Solnæs Iversen
24151,Elliot 'suma' Nissen-Jørgensen
19171,Mihnea 'mhN1' Gheață
16971,Gabriel-Cosmin 'zewts' Letcanu
16548,Bogdan 'CHANKY' Șerban
21117,Tudor 'd1maje' Aparaschivei
21337,Gyorfy 'starplajerz' Gabriel
24147,Iñaki 'prn' Claudepierre
22481,Jordan 'Chucky' Molnar
21967,Julien 'Tarkky' Buzogany
21331,Pierrick 'cHeuuuuk' Riotte
24148,Mathis 'Oxbrandd' Vilounsy
23471,Laurits 'Noruyp ' Norup Sørensen
11258,Magnus 'fr0slev' Frøslev
24105,Niklas 'Botman' Vestergaard
24135,Kristoffer 'Lethj' Leth Jensen
21381,André 'Zanto' Christiansen
23564,Adam 'Falk' Falk Andersen
13171,Andreas 'blaq' Elversøe
21363,Artem 'shg' Shaginyan
18447,Timur 'DSSj' Abdullin
18671,Evgeniy 'Get_Jeka' Smakilo
20402,Danyyl 'synyx' Mazur
21369,Danila '1NVISIBLEE' Simagin
18318,Maksim 'dekz' Korolev
22325,Maksim 'sowalio' Beketov
22326,Eduard 'Kaide' Tatarinov
23858,Abdurakhim 'mo0N' Issa
14359,Alikhan 'w1nt3r' Kopzhanov
22864,Nikita 'robo' Dushin
24176,Roman 'Mokuj1n' Petrushenko
23600,Alimzhan 'alkarenn' Bitimbai
24177,Maxim 'kyousuke' Lukin
23319,Daniel 'syph0' Ageyev
21447,Denis 'xdENiSZERA' Sklenin
21392,Vladimir 'shady' Karelin
23628,Vladislav 'KusMe' Dmitriev
22327,Yaroslav 'Something' Shevchishin
22535,Aleksandr 'dwushka' Pakhnevich
19808,Andrey 'tN1R' Tatarinovich
17305,Vladislav 'FinigaN' Usov
23360,Ivan 'easy' Mikitenko
22471,Vladislav 'xiELO' Lysov
18670,Ivan 'SELLTER' Miroshnikov
21386,Mark 'lampada' Ivanov
21686,Dmitriy 'anttzz' Kirillin
21385,Dmitry 'mizu' Kondratev
23783,Ivan 'fineshine52' Lukin
21388,Nurgun 'swiftsteel' Avvakumov
21036,Emil 'kroK' Wiedemann
24211,Arthur 'ARTHUR' Berent
24212,Oliver 'Oliver' Zimmer
24213,Jonathan 'jfk' Klement
24214,Aridon 'ar1don' Mustafa
22453,Marc 'marrrcKUN' Seidenberg
24208,Rolands 'v1trage' Lovnieks
18399,Mairis 'Mairel' Petrovs
24209,Vitālijs 'WIPSKY' Valdis Priļepskis
24210,Jānis 'yaankz' Krūmiņš
23200,Markuss 'sqreet' Gleizds
18802,Rene 'Wahtzz' Vahu
16855,Kevin 'zteeek' Rohurand
13882,Markus 'Sickta' Jan Martinonis
16856,Aaron 'PhilEba' Pajula
22631,Henry 'hY' Rosenberg
20003,Mārtiņš 'shadiy' Gūtmanis
14990,Kristers 'keen' Dārznieks
14214,Matiss 'raw' Rajunčus
8429,Aivis 'prelideN' Krastiņš
19566,Roberts 'Frip' Poļakovs
20129,Gusts 'm1kketye' Miezis
23723,Kristiāns 'Yamero' Žondaks
21512,Rūdolfs 'rud' Osmanis
20419,Kristers 'Brens' Brensons
20006,Edgars 'rabbit' Brečs
23318,Rauan 'rinn' Bakbergen
23539,Argyn 'for2na' Nurgaliev
23320,Dastan 'dosikzz' Erkinov
19823,Suleımen 'dukefissura' Orazaly
23316,Abylay 'OxygeN' Khamitov
24144,Danil 'molodoy' Golubenko
23543,Danial 'demente' Ismailov
23542,Ruslan 'wEAVER' Borzhikov
24202,Nurmukhammed 'singulier' Mugal
23386,Maksat 'kumao' Serik
9445,Aleksandr 'SNk' Semkin
22692,Maatkalymov 'kenz1' Bayas
22219,Baytur 'spok3nn ' Abdykadyrov
22693,Tuzabaev 'xztcu' Atakhan
22221,Baktibek 'Hezza' Koshbaev
9255,William 'draken' Sundin
19064,Olle 'spooke' Grundström
9261,Jonas 'Lekr0' Olofsson
19021,Hugo 'chawzyyy' Günther
21012,Kalle 'Ro1f' Johansson
15501,Jonathan 'b0denmaster' Bodenmalm
7700,Robin 'robiin' Sjögren
9811,Niclas 'PlesseN' Plessen
7443,Simon 'twist' Eliasson
22860,Arvid 'avid' Åberg
23397,Alex 'poiii' Nyholm Sundgren
22914,Sebastian 'dex' Samuelsson
17936,Adam 'bq' Bergqvist
3329,Max 'quix' Lindkvist
22512,William 'zyyx' Sjögren
20033,Mikkel 'Maze' Sparvath
18778,Elizaveta 'Elizabeth' Ashina
18773,Svetlana 'f6tal' Shidlovskaia
18780,Victoria 'Victoria' Ukasova
10285,Tanya 't4tty' Vorontsova
24206,Anastasiya 'mb1w' Ruzavina
22028,Margarita 'Margo' Ilyina
23306,Alina 'amore' Sergacheva
22933,Anna 'ayaka' Trofimova
23440,Julia 'akiyanora' Semenova
22934,Christina 'meo' Gnezdilova
23947,Ljudmila 'Mileyyy' Mikitová
20166,Aida 'Aida' Simão
23050,Lotta 'Waldee' Liesmala
23995,Emma 'Emmsan' Mattsson
23051,Milona 'miLo' Tiainen
18229,Dzhamilya 'Jammie' Alagozova
22029,Anastasia 'AverOna' Shevchenko
23994,Veronika 'Rony4ka' Munazypova
23993,Emilia 'tenweri' Shakirova
22935,Maria 'uulis' Vasilkova
18891,Lucas 'CutzMeretz' Freitas
20378,Lucas 'honda' Cano
16769,Antonio 'realz1n' Oliveira
14010,Leonardo 'zmb' Toledo
22182,Italo 'ksloks' Meinberg
2544,Victor 'remix' Monteiro
12708,Rigon 'rigoN' Gashi
18120,Dionis 'sinnopsyy' Budeci
15778,Sener 'SENER1' Mahmuti
22673,Drin 'makazze' Shaqiri
22203,Aulon 'Krabeni' Fazlija
20432,Valon 'vAloN' Etemi
20434,Bledar 'BledarD' Dula
20435,Butrint 'HYPERI1' Gashi
21108,Ensar 'Caleyy' Ersuzi
19761,Arbnor 'Dementor' Pacolli
21109,Ammar 'ammar' Grashtica
22195,Endrit 'tripey' Humolli
21114,Qendrim 'v1w' Hajrizi
12777,Atif 'gejmzilla' Mustafa
23300,Gentrit 'rosoneriii' Hetemi
24200,Artin 'artin in choke' Fejza
24198,Argjend 'KINGSTIKIII' Misini
24201,Fatjon 'FatjoN' Tahiri
24199,Leon 'furyh' Osmani
22678,Avdullah 'swaddyyy' Hyseni
24195,Egzon 'xonn1k' Behluli
22196,Defrim 'Defro' Sadiku
24196,Shuajb 'Shuajbzz' Nexhipi
22194,Gentijan 'TNEG' Musliji
24197,Salim 'norkk' Aliti
24194,Arianit 'qpjz' Babiqi
23299,Endrit 'enoooo' Zeqiri
21110,Endrit 'Dinsanety' Thaqi
22197,Drilon 'wolfano' Raçi
22868,Redon 'red0nz' Ademi
20451,Matias 'abizz' Muñiz Cusi
19985,Ignacio 'nacho' Rodriguez
17039,Marcos 'deco' Amato
19872,Nicolas 'BK1' Cespedes
20992,Ivan 'ivz' Quintana
18141,Rodrigo 'biguzera' Bittencourt
20171,João 'snow' Vinicius
20563,Lucas 'lux' Meneghini
20085,Kaue 'kauez' Kaschuk
19694,Lucas 'nqz' Soares
20026,Richard 'chayJESUS' Seidy
18717,Lucas 'Lucaozy' Neves
19692,Romeu 'zevy' Rocco
