eventId,eventName,eventDate,eventLink,eventNumTeams,eventPrize,eventLocation,eventType
7809,ELITE FE Cup 1,Apr 27th,/events/7809/elite-fe-cup-1,4+,"$1,070",Europe (Online),Online
7808,Dust2 India 1xBet Masters 9,Apr 29th,/events/7808/dust2-india-1xbet-masters-9,2,"$1,500",India (Online),Online
7807,InfoShow LAN Party 2024,Apr 27th,/events/7807/infoshow-lan-party-2024,2,"$1,279","Kaunas, Lithuania",Local LAN
7806,Elisa Open Finland Season 6,Apr 28th,/events/7806/elisa-open-finland-season-6,4+,"$5,359",Finland (Online),Online
7805,RES Regional Series 3 Europe,Apr 26th,/events/7805/res-regional-series-3-europe,16,"$100,000",Europe (Online),Online
7802,ESL Challenger League Season 47 North America Relegation,Jun 11th,/events/7802/esl-challenger-league-season-47-north-america-relegation,6,Other,North America (Online),Online
7801,ESL Challenger League Season 47 Europe Relegation,Jun 11th,/events/7801/esl-challenger-league-season-47-europe-relegation,12,Other,Europe (Online),Online
7799,ESEA Advanced Season 49 North America,Jun 3rd,/events/7799/esea-advanced-season-49-north-america,6+,"$19,100",North America (Online),Online
7798,ESEA Advanced Season 49 Europe,May 28th,/events/7798/esea-advanced-season-49-europe,24+,"$20,600",Europe (Online),Online
7797,ComeOn Nordic Showdown 2024,Apr 27th,/events/7797/comeon-nordic-showdown-2024,4+,"$10,620",Europe (Online),Online
7796,Hellcase Cup 9,Apr 26th,/events/7796/hellcase-cup-9,24,"$30,000",Europe (Online),Online
7795,CCT Season 2 Europe Series 2,Apr 29th,/events/7795/cct-season-2-europe-series-2,24,"$50,000",Europe (Online),Online
7794,CCT Season 2 Europe Series 2 Closed Qualifier,Apr 27th,/events/7794/cct-season-2-europe-series-2-closed-qualifier,8+,Other,Europe (Online),Online
7793,launders LAN 2024,Apr 21st,/events/7793/launders-lan-2024,4+,"$7,262","Toronto, Canada",Local LAN
7790,digitec Playground Volume 12,Apr 20th,/events/7790/digitec-playground-volume-12,2,Other,"Zurich, Switzerland",Local LAN
7789,Gamebox Festival 2024,Apr 20th,/events/7789/gamebox-festival-2024,8+,"$7,131","Herning, Denmark",Local LAN
7788,MESA Nomadic Masters Spring 2024,May 28th,/events/7788/mesa-nomadic-masters-spring-2024,8,"$100,000","Ulaanbaatar, Mongolia",Intl. LAN
7787,Ace North American Masters Fall 2024 - BLAST Premier Qualifier,Jun 6th,/events/7787/ace-north-american-masters-fall-2024-blast-premier-qualifier,8,Other,North America (Online),Online
7785,United21 League Season 14,Apr 16th,/events/7785/united21-league-season-14,4+,"$10,000",Europe (Online),Online
