id,name,rating
3741,Nikola 'NiKo' Kovač,1.63
10394,Russel 'Twistzz' Van Dulken,1.6
18053,Helvijs 'broky' Saukants,1.45
8528,Abay 'HObbit' Khassenov,1.39
14176,Kévin 'misutaaa' Rabier,1.29
20425,Artem 'r1nkle' Moroz,1.03
11816,Robin 'ropz' Kool,1.35
20194,Garidmagnai 'bLitz' Byambasuren,1.28
18361,Shuaib 'D0cC' Ahmad,1.68
20194,Garidmagnai 'bLitz' Byambasuren,1.26
20895,Jingxiang 'Mercury' Wang,1.43
15062,Telmen 'shinobi' Batzorig,1.15
16207,Zhenghao 'DANK1NG' Lv,1.49
20799,Ahmad 'SpAwNnS' Kanaan,1.44
11139,Alistair 'aliStair' Johnston,1.26
20275,Sodbayar 'Techno' Munkhbold,1.39
19536,Yalalt 'yAmi' Oyunbileg,1.9
11140,Joshua 'INS' Potter,1.48
19645,Yi 'JamYoung' Yang,2.12
20275,Sodbayar 'Techno' Munkhbold,1.57
19692,Romeu 'zevy' Rocco,1.5
13915,Mareks 'YEKINDAR' Gaļinskis,1.42
16816,Vinicius 'vsm' Moreira,1.37
17372,Justin 'FaNg' Coakley,1.52
13249,Josh 'oSee' Ohm,1.36
9482,Gabriel 'NEKIZ' Schenato,2.07
7383,Caio 'zqkS' Fonseca,1.11
14737,Ignacio 'meyern' Meyer,1.28
17930,Jerric 'wiz' Jiang,1.92
12840,Håkon 'hallzerk' Fjærli,1.29
19846,Anthony 'CLASIA' Kearney,0.96
9483,Lucas 'destiny' Bullo,1.11
14394,Matheus 'Tuurtle' Anhaia,1.68
10566,Marcelo 'chelo' Cespedes,1.8
17039,Marcos 'deco' Amato,1.16
12840,Håkon 'hallzerk' Fjærli,1.1
12553,Yuri 'yuurih' Santos,1.48
13915,Mareks 'YEKINDAR' Gaļinskis,1.97
20939,Allan 'history' Lawrenz,1.5
8565,Henrique 'HEN1' Teles,1.26
8568,Ricardo 'boltz' Prass,1.38
9482,Gabriel 'NEKIZ' Schenato,2.02
12840,Håkon 'hallzerk' Fjærli,1.43
15914,Luca 'Luken' Nadotti,1.24
15631,Kaike 'KSCERATO' Cerato,1.64
8520,Keith 'NAF' Markovic,1.82
19763,Mohammad 'BOROS' Malhas,1.24
16920,Dmitry 'sh1ro' Sokolov,1.22
19230,Ilya 'm0NESY' Osipov,1.12
12781,Nils 'k1to' Gruhne,1.09
19236,Aleksandr 'KENSI' Gurkin,1.2
16920,Dmitry 'sh1ro' Sokolov,1.0
19899,Karim 'Krimbo' Moussa,1.24
15662,Aleksandr 'zorte' Zagodyrenko,1.3
11343,Georgi 'SHiPZ' Grigorov,1.1
18670,Ivan 'SELLTER' Miroshnikov,1.28
13666,Ludvig 'Brollan' Brolin,1.81
17504,Kamil 'KEi' Pietkun,1.43
12018,René 'TeSeS' Madsen,1.22
4954,Andreas 'Xyp9x' Højsleth,1.2
19164,Álvaro 'SunPayus' García,1.99
17145,Aleks 'Rainwaker' Petrov,1.13
19882,Evgeny 'Norwi' Ermolin,1.69
8528,Abay 'HObbit' Khassenov,1.43
20709,Evgeny 'r3salt' Frolov,1.21
150,Engin 'MAJ3R' Küpeli,1.66
19230,Ilya 'm0NESY' Osipov,1.98
