eventId,matchId,teamOneName,teamTwoName,teamOneScore,teamTwoScore,teamOneWon,teamTwoWon,matchLink
7600,2371415,Apeks,sunday school,13,2,False,True,/matches/2371415/apeks-vs-sunday-school-esl-challenger-melbourne-2024
7499,2368508,Virtus.pro,Spirit,2,3,False,True,/matches/2368508/virtuspro-vs-spirit-betboom-dacha-2023
7499,2368506,MIBR,Spirit,0,2,False,True,/matches/2368506/mibr-vs-spirit-betboom-dacha-2023
7499,2368507,BetBoom,Virtus.pro,0,2,False,True,/matches/2368507/betboom-vs-virtuspro-betboom-dacha-2023
7499,2368505,Spirit,FURIA,2,0,True,False,/matches/2368505/spirit-vs-furia-betboom-dacha-2023
7499,2368502,BetBoom,Cloud9,2,0,True,False,/matches/2368502/betboom-vs-cloud9-betboom-dacha-2023
7499,2368504,Astralis,FURIA,0,2,False,True,/matches/2368504/astralis-vs-furia-betboom-dacha-2023
7499,2368501,Cloud9,MIBR,1,2,False,True,/matches/2368501/cloud9-vs-mibr-betboom-dacha-2023
7499,2368503,Virtus.pro,Spirit,2,0,True,False,/matches/2368503/virtuspro-vs-spirit-betboom-dacha-2023
7499,2368500,GamerLegion,BetBoom,0,2,False,True,/matches/2368500/gamerlegion-vs-betboom-betboom-dacha-2023
7499,2368499,FURIA,Spirit,0,2,False,True,/matches/2368499/furia-vs-spirit-betboom-dacha-2023
7499,2368498,Astralis,Virtus.pro,1,2,False,True,/matches/2368498/astralis-vs-virtuspro-betboom-dacha-2023
7499,2368497,MIBR,BetBoom,2,0,True,False,/matches/2368497/mibr-vs-betboom-betboom-dacha-2023
7499,2368496,GamerLegion,Cloud9,0,2,False,True,/matches/2368496/gamerlegion-vs-cloud9-betboom-dacha-2023
7485,2372746,Spirit,Natus Vincere,3,1,True,False,/matches/2372746/spirit-vs-natus-vincere-blast-premier-spring-final-2024
7485,2372745,Natus Vincere,Virtus.pro,2,0,True,False,/matches/2372745/natus-vincere-vs-virtuspro-blast-premier-spring-final-2024
7485,2372744,Spirit,Vitality,2,1,True,False,/matches/2372744/spirit-vs-vitality-blast-premier-spring-final-2024
7485,2372743,Astralis,Virtus.pro,0,2,False,True,/matches/2372743/astralis-vs-virtuspro-blast-premier-spring-final-2024
7485,2372742,FaZe,Vitality,1,2,False,True,/matches/2372742/faze-vs-vitality-blast-premier-spring-final-2024
7485,2372741,Virtus.pro,Spirit,0,2,False,True,/matches/2372741/virtuspro-vs-spirit-blast-premier-spring-final-2024
7485,2372740,Vitality,G2,2,1,True,False,/matches/2372740/vitality-vs-g2-blast-premier-spring-final-2024
7485,2372736,FaZe,Natus Vincere,1,2,False,True,/matches/2372736/faze-vs-natus-vincere-blast-premier-spring-final-2024
7485,2372737,SAW,Astralis,0,2,False,True,/matches/2372737/saw-vs-astralis-blast-premier-spring-final-2024
7485,2372739,Spirit,G2,2,1,True,False,/matches/2372739/spirit-vs-g2-blast-premier-spring-final-2024
7485,2372738,Vitality,Virtus.pro,1,2,False,True,/matches/2372738/vitality-vs-virtuspro-blast-premier-spring-final-2024
7485,2372735,Natus Vincere,Astralis,2,0,True,False,/matches/2372735/natus-vincere-vs-astralis-blast-premier-spring-final-2024
7485,2372734,FaZe,SAW,2,0,True,False,/matches/2372734/faze-vs-saw-blast-premier-spring-final-2024
7438,2372350,G2,Vitality,2,1,True,False,/matches/2372350/g2-vs-vitality-iem-dallas-2024
7438,2372348,9z,G2,0,2,False,True,/matches/2372348/9z-vs-g2-iem-dallas-2024
7438,2372349,Spirit,Vitality,0,2,False,True,/matches/2372349/spirit-vs-vitality-iem-dallas-2024
