playerId,playerName,playerLink
19230,m0NESY,/player/19230/m0nesy
22922,EmiliaQAQ,/player/22922/emiliaqaq
18676,skullz,/player/18676/skullz
17384,Vexite,/player/17384/vexite
23317,khaN,/player/23317/khan
19128,SLIGHT,/player/19128/slight
22613,HUASOPEEK,/player/22613/huasopeek
24036,zdr,/player/24036/zdr
14561,18yM,/player/14561/18ym
9816,Aleksib,/player/9816/aleksib
8738,EliGE,/player/8738/elige
922,Snappi,/player/922/snappi
14759,iM,/player/14759/im
11630,JT,/player/11630/jt
9032,Magisk,/player/9032/magisk
18987,b1t,/player/18987/b1t
12713,floppy,/player/12713/floppy
11777,Maden,/player/11777/maden
19206,jL,/player/19206/jl
12840,hallzerk,/player/12840/hallzerk
19164,SunPayus,/player/19164/sunpayus
20127,w0nderful,/player/20127/w0nderful
13578,Grim,/player/13578/grim
19763,BOROS,/player/19763/boros
11154,exit,/player/11154/exit
8565,HEN1,/player/8565/hen1
2161,Noktse,/player/2161/noktse
9571,cJ dA K1nG,/player/9571/cj-da-k1ng
19709,shane,/player/19709/shane
18141,biguzera,/player/18141/biguzera
9483,destiny,/player/9483/destiny
8521,daps,/player/8521/daps
14799,brett,/player/14799/brett
9216,coldzera,/player/9216/coldzera
14390,WOOD7,/player/14390/wood7
18835,saffee,/player/18835/saffee
9219,felps,/player/9219/felps
14737,meyern,/player/14737/meyern
10892,MarKE,/player/10892/marke
19710,dare,/player/19710/dare
19686,n1ssim,/player/19686/n1ssim
16817,hardzao,/player/16817/hardzao
9136,Brehze,/player/9136/brehze
15090,PwnAlone,/player/15090/pwnalone
9482,NEKIZ,/player/9482/nekiz
14394,Tuurtle,/player/14394/tuurtle
19750,drop,/player/19750/drop
12822,VINI,/player/12822/vini
17039,deco,/player/17039/deco
14494,junior,/player/14494/junior
14619,Infinite,/player/14619/infinite
19711,snav,/player/19711/snav
19694,nqz,/player/19694/nqz
18743,nython,/player/18743/nython
13249,oSee,/player/13249/osee
15176,Cryptic,/player/15176/cryptic
15698,dumau,/player/15698/dumau
16835,ponter,/player/16835/ponter
20987,brnz4n,/player/20987/brnz4n
20183,decenty,/player/20183/decenty
20394,luchov,/player/20394/luchov
17918,nosraC,/player/17918/nosrac
21882,nbgee12,/player/21882/nbgee12
20085,kauez,/player/20085/kauez
18865,dav1deuS,/player/18865/dav1deus
17372,FaNg,/player/17372/fang
18706,freshie,/player/18706/freshie
17585,b4rtiN,/player/17585/b4rtin
17181,naitte,/player/17181/naitte
21037,insani,/player/21037/insani
22564,noway,/player/22564/noway
22570,tomaszin,/player/22570/tomaszin
20333,Jeorge,/player/20333/jeorge
21665,JBa,/player/21665/jba
22135,Peeping,/player/22135/peeping
20563,lux,/player/20563/lux
21288,venomzera,/player/21288/venomzera
18838,HexT,/player/18838/hext
20564,d4rty,/player/20564/d4rty
19045,latto,/player/19045/latto
20897,matios,/player/20897/matios
8124,DavCost,/player/8124/davcost
9521,dobu,/player/9521/dobu
12279,Derek,/player/12279/derek
10497,REAL1ZE,/player/10497/real1ze
8604,aumaN,/player/8604/auman
10449,ISSAA,/player/10449/issaa
10870,kabal,/player/10870/kabal
16768,lan,/player/16768/lan
18048,m4tthi,/player/18048/m4tthi
13281,El1an,/player/13281/el1an
22333,MiQ,/player/22333/miq
21396,ariucle,/player/21396/ariucle
18361,D0cC,/player/18361/d0cc
17675,m1N1,/player/17675/m1n1
22415,AccuracyTG,/player/22415/accuracytg
21397,Tugu,/player/21397/tugu
19224,day0s,/player/19224/day0s
20904,ViTaL,/player/20904/vital
23457,Zesta,/player/23457/zesta
21992,WasteOfAmmo,/player/21992/wasteofammo
20800,KD69z,/player/20800/kd69z
8371,alex,/player/8371/alex
630,MUTiRiS,/player/630/mutiris
9656,hAdji,/player/9656/hadji
11498,NickelBack,/player/11498/nickelback
8998,JUST,/player/8998/just
11278,TOAO,/player/11278/toao
5388,rallen,/player/5388/rallen
8611,es3tag,/player/8611/es3tag
2241,roman,/player/2241/roman
13138,Maka,/player/13138/maka
12027,Krad,/player/12027/krad
9254,mopoz,/player/9254/mopoz
18070,Demho,/player/18070/demho
7996,CRUC1AL,/player/7996/cruc1al
9078,k0nfig,/player/9078/k0nfig
20462,story,/player/20462/story
13497,Lucky,/player/13497/lucky
13982,Forester,/player/13982/forester
11205,stadodo,/player/11205/stadodo
20018,fr3nd,/player/20018/fr3nd
13018,Thomas,/player/13018/thomas
9278,REZ,/player/9278/rez
20464,ewjerkz,/player/20464/ewjerkz
19738,Djoko,/player/19738/djoko
16948,TRAVIS,/player/16948/travis
19509,dav1g,/player/19509/dav1g
20958,bajmi,/player/20958/bajmi
14176,misutaaa,/player/14176/misutaaa
19592,headtr1ck,/player/19592/headtr1ck
20465,arrozdoce,/player/20465/arrozdoce
